bw1,bw2,dl1,dl2,pl1,pl2,MPSNR
6.304,6.231,7,218,0.18,0.9,59.45233839
9.859,7.372,44,245,0.49,0.57,59.85980406
6.748,10.249,4,281,0.02,0.64,77.42491419
7.908,8.806,48,139,0.49,0.96,54.23712815
8.469,4.221,285,233,0.31,0.92,31.44844108
9.811,7.438,165,84,0.08,0.37,64.42727403
4.348,8.083,6,28,0.15,0.14,56.05474113
3.892,11.663,178,5,0.38,0.28,35.36084096
4.558,8.539,187,80,0.1,0.79,41.23873713
14.955,6.305,228,146,0.2,0.01,87.30820938
5.646,4.786,260,173,0.36,0.45,45.80699371
12.909,10.065,225,273,0.27,0.32,58.19425772
5.451,9.461,286,161,0.44,0.53,46.19865561
10.661,11.736,289,203,0.39,0.43,64.54462243
10.299,9.857,281,75,0.15,0.97,55.68378146
10.888,4.404,131,199,0.37,0.11,49.86813501
8.603,6.575,99,207,0.47,0.89,52.09814788
13.897,8.436,51,165,0.27,0.7,61.60773026
7.986,11.369,264,121,0.47,0.42,57.2076659
8.761,10.737,41,134,0.19,0.05,92.43410326
14.602,11.03,105,170,0.17,0.52,60.48619851
7.779,3.155,40,261,0.23,0.15,25.99449371
3.628,10.306,135,226,0.38,0.75,30.21056207
13.37,4.358,166,58,0.46,0.87,36.09732551
8.76,7.025,273,193,0.28,0.94,53.62414188
12.261,10.343,207,0,0.11,0.72,72.48326659
7.234,6.286,184,87,0.32,0.94,58.07569365
14.871,11.433,17,4,0.34,0.69,58.33734983
11.308,3.091,79,108,0,0.8,25.98659182
7.497,6.29,63,45,0.34,0.79,57.04229834
12.637,4.772,35,214,0.29,0.64,47.03521882
14.616,3.197,203,103,0.48,0.34,23.60601402
5.38,3.94,129,161,0.23,0.45,32.58456093
4.421,7.442,134,192,0.32,0.14,43.72797483
7.175,8.227,252,143,0.33,0.37,60.59432208
13.568,9.586,2,270,0.05,0.63,69.46488844
13.661,5.681,297,58,0.48,0.58,53.69136156
14.059,8.518,179,219,0.2,0.84,51.44693936
9.939,11.831,18,280,0.39,0.92,59.09482265
3.767,4.699,186,51,0.26,0.85,28.6603976
5.038,10.342,165,262,0.31,0.75,52.78164331
12.662,9.347,109,209,0,0.92,58.89795481
3.663,5.515,136,102,0.08,0.48,27.73433924
8.685,8.599,217,116,0.28,0.16,72.40335383
